Time,Frequency,dBFS
0.0696599,2756.25,-129.359
0.0696599,2799.32,-125.141
0.0696599,2842.38,-123.545
0.0696599,2885.45,-123.873
0.0696599,2928.52,-126.292
0.0696599,2971.58,-131.519
0.0696599,3014.65,-131.919
0.0696599,3057.71,-126.396
0.0696599,3100.78,-123.555
0.0696599,3143.85,-122.597
0.0696599,3186.91,-123.016
0.0696599,3229.98,-124.489
0.0696599,3273.05,-126.186
0.0696599,3316.11,-126.327
0.0696599,3359.18,-125.014
0.0696599,3402.25,-123.975
0.0696599,3445.31,-123.848
0.0696599,3488.38,-124.573
0.0696599,3531.45,-125.64
0.0696599,3574.51,-126.13
0.0696599,3617.58,-125.793
0.0696599,3660.64,-125.417
0.0696599,3703.71,-125.567
0.0696599,3746.78,-126.271
0.0696599,3789.84,-127.28
0.0696599,3832.91,-128.379
0.0696599,3875.98,-129.632
0.0696599,3919.04,-131.07
0.0696599,3962.11,-131.961
0.0696599,4005.18,-131.463
0.0696599,4048.24,-130.55
0.0696599,4091.31,-130.458
0.0696599,4134.38,-131.764
0.0696599,4177.44,-135.072
0.0696599,4220.51,-142.415
0.0696599,4263.57,-151.735
0.0696599,4306.64,-140.925
0.0696599,4349.71,-138.527
0.0696599,4392.77,-139.15
0.0696599,4435.84,-142.299
0.0696599,4478.91,-148.721
0.0696599,4521.97,-149.195
0.0696599,4565.04,-143.151
0.0696599,4608.11,-139.544
0.0696599,4651.17,-137.308
0.0696599,4694.24,-136.243
0.0696599,4737.3,-136.594
0.0696599,4780.37,-139.072
0.0696599,4823.44,-146.16
0.0696599,4866.5,-145.301
0.0696599,4909.57,-137.489
0.0696599,4952.64,-134.267
0.0696599,4995.7,-133.411
0.0696599,5038.77,-134.581
0.0696599,5081.84,-138.438
0.0696599,5124.9,-148.571
0.0696599,5167.97,-142.564
0.0696599,5211.04,-136.397
0.0696599,5254.1,-133.458
0.0696599,5297.17,-131.676
0.0696599,5340.23,-130.548
0.0696599,5383.3,-130.236
0.0696599,5426.37,-131.209
0.0696599,5469.43,-134.196
0.0696599,5512.5,-138.127
0.0812698,0,-71.4276
0.0812698,43.0664,-72.2518
